장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
30,00:29.30 ~ 00:30.10,00:29.70,누적 판매량,진공 포장 등심을 들어 제품을 재노출,사회적 증거 예고,수치를 말하기 전 기준을 먼저 제시한다.
31,00:30.10 ~ 00:31.10,00:30.60,67만 개 찍은 데는,포장 등심과 노란 수치 자막,사회적 증거,누적 판매량으로 선택 불안을 낮춘다.
32,00:31.10 ~ 00:32.20,00:31.65,다 이유가 있었네요,화자가 고개를 끄덕이며 제품을 바라봄,검증 결론,가격·맛·판매량을 친근한 한마디로 정리한다.
33,00:32.20 ~ 00:33.00,00:32.60,너무 맛있어서 우리 애는,고기를 밥 위에 올리는 초근접,아이 후기 예고,도입의 아이 반응을 다시 회수한다.
34,00:33.00 ~ 00:34.50,00:33.75,이거 없인 밥 안 먹는다고,아이가 식탁에서 고기를 먹음,문제 해결,밥투정 해결이라는 부모 효익으로 바꾼다.
35,00:34.50 ~ 00:35.10,00:34.80,찡찡대요 ㅎ,아이가 고기를 씹으며 만족,코믹 후기,가벼운 웃음 표기로 생활 후기 톤을 유지한다.
36,00:35.10 ~ 00:35.70,00:35.40,특가링크,엄마가 구운 고기를 먹으며 눈을 감음,CTA 예고,행동어를 단독 자막으로 분리한다.
37,00:35.70 ~ 00:36.70,00:36.20,여기서만 공유드릴테니,화자가 카메라를 향해 말함,한정 경로,비밀 공유처럼 들리게 만든다.
38,00:36.70 ~ 00:37.50,00:37.10,특가 끝나기 전에,포장 등심을 들고 미소 짓는 화자,기간 긴급성,혜택 종료를 행동 이유로 제시한다.
39,00:37.50 ~ 00:38.38,00:37.94,얼른 쟁여두세요!,화자가 포장육을 품에 안음,마감 CTA,가족용 비축 구매를 촉구한다.
