장면번호,대표구간,대표캡처시각,화면자막,영상장면 설명,구성 역할,분석
32,00:41.00 ~ 00:42.00,00:41.40,그럼 75% 내려서,가격표를 교체하는 판매자,할인율 공개,최종가 전 할인율을 먼저 제시한다.
33,00:42.00 ~ 00:43.00,00:42.40,"1kg에 단돈 9,900원!","비밀링크 특가 9,900원 가격표",최종 가격 반전,큰 숫자와 집중선 효과로 최고 기억점을 만든다.
34,00:43.00 ~ 00:44.00,00:43.40,4만원짜리가 만원도 안 되는,"9,900원 가격표와 상품",정가 비교,정가 대비 체감 할인폭을 언어로 풀어준다.
35,00:44.00 ~ 00:45.00,00:44.40,미친 가격이에요ㅠㅠ,"판매자가 9,900원 가격표 앞에서 항변",혜택 감정화,판매자의 손해 반응으로 할인폭을 강조한다.
36,00:45.00 ~ 00:47.00,00:45.80,대신 3중 안전포장 때문에,아이스박스 안 파우치 제품을 조명 효과와 함께 보여줌,구매 조건 근거,최소 수량 조건을 포장 비용으로 설명한다.
37,00:47.00 ~ 00:48.00,00:47.40,최소 2팩 부터만 갑니다!!,판매자가 손가락 두 개를 펼침,최소 수량,제스처와 숫자를 일치시켜 이해를 빠르게 한다.
38,00:48.00 ~ 00:49.00,00:48.40,여기까지 내렸으면,병 제품을 카메라 가까이 제시,추가 요구 예고,한 번 더 협상할 여지를 만든다.
39,00:49.00 ~ 00:50.00,00:49.40,마지막으로 3팩 이상,여러 병과 파우치를 한꺼번에 보여줌,장바구니 확대,무료배송 조건과 구매 수량을 연결한다.
40,00:50.00 ~ 00:51.00,00:50.40,무료배송도 쏘시죠!!!,상품 병을 장갑으로 들고 강하게 제시,추가 혜택 요구,가격 외 마지막 장벽을 제거하려 한다.
41,00:51.00 ~ 00:52.00,00:51.40,지금도 마진 싹 날리고 파는 건데,"판매자와 9,900원 가격표",판매자 저항,혜택이 과감하다는 인상을 강화한다.
42,00:52.00 ~ 00:54.00,00:52.80,무료배송까지 하면 저 진짜 죽어요!!!,판매자가 손을 저으며 강하게 거부,코믹 저항,과장된 손해 서사로 마지막 혜택을 드라마화한다.
43,00:54.00 ~ 00:56.00,00:54.80,할 거면 끝까지 화끈하게 가야죠~!!,검은 장갑이 손을 모아 설득,최종 압박,시청자의 편에서 판매자를 밀어붙이는 쾌감을 만든다.
44,00:56.00 ~ 00:57.00,00:56.40,대신 딱 이번 한 번만이에요...!,병 제품을 정면 제시,기간 제한,혜택 승인과 동시에 희소성을 부여한다.
45,00:57.00 ~ 00:58.67,00:58.00,이 가격 다시는 없습니다!!,"비밀특가 9,900원 가격표를 손가락으로 가리킴",최종 긴급 CTA,강한 단정형 희소성으로 행동을 촉구한다.
